index,movieId,tmdb_title
0,4942,The Angry Red Planet
1,4945,The Enforcer
2,4946,An Eye for an Eye
3,4947,The Gauntlet
4,4951,Lord of the Flies
5,4952,Morons from Outer Space
6,4953,The People That Time Forgot
7,4956,The Stunt Man
8,4957,Sudden Impact
9,4958,Behind Enemy Lines
10,4959,The Affair of the Necklace
11,4962,Texas Rangers
12,4963,Ocean's Eleven
13,4964,Baran
14,4965,The Business of Strangers
15,4966,The Incredible Shrinking Man
16,4967,No Man's Land
17,4969,And Then There Were None
18,4970,The Blue Angel
19,4971,Moscow on the Hudson
20,4973,Amélie
21,4974,Not Another Teen Movie
22,4975,Vanilla Sky
23,4976,Iris
24,4977,Kandahar
25,4978,Lantana
26,4979,The Royal Tenenbaums
27,4980,Bill & Ted's Bogus Journey
28,4981,Clockwise
29,4985,Sheena
30,4987,Spacehunter: Adventures in the Forbidden Zone
31,4988,White Water Summer
32,4989,How High
33,4990,Jimmy Neutron: Boy Genius
34,4991,Joe Somebody
35,4992,Kate & Leopold
36,4993,The Lord of the Rings: The Fellowship of the Ring
37,4994,The Majestic
38,4995,A Beautiful Mind
39,4998,The Defiant Ones
40,5004,The Birthday Party
41,5007,Topkapi
42,5008,Witness for the Prosecution
43,5009,Ali
44,5010,Black Hawk Down
45,5011,Charlotte Gray
46,5012,Yentl
47,5013,Gosford Park
48,5014,I Am Sam
49,5015,Monster's Ball
50,5016,The Shipping News
51,5021,Murder by Death
52,5023,The Waterdance
53,5025,Orange County
54,5026,Brotherhood of the Wolf
55,5027,Another 48 Hrs.
56,5033,The Russia House
57,5034,Truly Madly Deeply
58,5039,Dragonslayer
59,5040,Conan the Destroyer
60,5041,Fire and Ice
61,5046,Impostor
62,5047,Kung Pow: Enter the Fist
63,5048,Snow Dogs
64,5049,48 Hrs.
65,5051,Italian for Beginners
66,5053,Blankman
67,5054,Brainstorm
68,5055,Dragon: The Bruce Lee Story
69,5059,Little Dieter Needs to Fly
70,5062,Seconds
71,5063,One-Eyed Jacks
72,5064,The Count of Monte Cristo
73,5065,The Mothman Prophecies
74,5066,A Walk to Remember
75,5069,Escaflowne: The Movie
76,5071,Maelström
77,5072,Metropolis
78,5073,The Son's Room
79,5074,Storytelling
80,5075,Waydowntown
81,5076,The Adventures of Huck Finn
82,5077,Cousins
83,5080,Slackers
84,5081,Birthday Girl
85,5083,Rare Birds
86,5088,Going Places
87,5092,Big Fat Liar
88,5093,Collateral Damage
89,5094,Rollerball
90,5095,"Scotland, PA"
91,5096,Baby's Day Out
92,5099,Heidi
93,5102,Rookie of the Year
94,5103,The Sandlot
95,5105,Don't Look Now
96,5106,Crossroads
97,5107,Hart's War
98,5108,John Q
99,5109,Return to Never Land
100,5110,Super Troopers
101,5111,The Good Son
102,5112,Last Orders
103,5113,After the Fox
104,5114,The Bad and the Beautiful
105,5116,Designing Woman
106,5120,Sleuth
107,5121,Stroszek
108,5127,Dragonfly
109,5128,Queen of the Damned
110,5131,How to Kill Your Neighbor's Dog
111,5134,Mean Machine
112,5135,Monsoon Wedding
113,5136,Wendigo
114,5137,Scratch
115,5139,The Bad News Bears
116,5146,Vampire Hunter D: Bloodlust
117,5147,Wild Strawberries
118,5151,40 Days and 40 Nights
119,5152,We Were Soldiers
120,5155,The Big Bird Cage
121,5156,The Big Doll House
122,5159,FernGully: The Last Rainforest
123,5168,Royal Wedding
124,5170,All About the Benjamins
125,5171,The Time Machine
126,5177,The Magnificent Ambersons
127,5178,Fun
128,5181,Hangar 18
129,5187,Hopscotch
130,5189,Humanoids from the Deep
131,5197,Little Darlings
132,5198,The Long Good Friday
133,5202,My American Uncle
134,5205,Motel Hell
135,5212,The Octagon
136,5213,"Oh, God! Book II"
137,5214,"Oh, God!"
138,5218,Ice Age
139,5219,Resident Evil
140,5220,Showtime
141,5221,Harrison's Flowers
142,5222,Kissing Jessica Stein
143,5224,Promises
144,5225,Y Tu Mamá También
145,5226,All the Right Moves
146,5231,Road to Morocco
147,5237,Taps
148,5238,Return of the Secaucus Seven
149,5239,Rude Boy
150,5240,Running Scared
151,5241,Seems Like Old Times
152,5244,Shogun Assassin
153,5246,Smokey and the Bandit II
154,5247,Smokey and the Bandit
155,5248,Smokey and the Bandit Part 3
156,5250,Stir Crazy
157,5254,Blade II
158,5255,Sorority Boys
159,5256,Stolen Summer
160,5258,George Washington
161,5264,Clockstoppers
162,5265,Death to Smoochy
163,5266,Panic Room
164,5267,The Rookie
165,5268,No Such Thing
166,5269,The Piano Teacher
167,5272,Time Out
168,5275,Boxcar Bertha
169,5278,Fraternity Vacation
170,5279,Impromptu
171,5282,High Crimes
172,5283,National Lampoon's Van Wilder
173,5284,Crush
174,5285,Lucky Break
175,5288,The Atomic Cafe
176,5291,Rashomon
177,5292,Slap Shot
178,5293,Changing Lanes
179,5294,Frailty
180,5296,The Sweetest Thing
181,5297,The Cat's Meow
182,5298,Human Nature
183,5299,My Big Fat Greek Wedding
184,5300,3:10 to Yuma
185,5303,Joe Versus the Volcano
186,5307,Taking Care of Business
187,5308,3 Men and a Baby
188,5309,3 Men and a Little Lady
189,5311,The Watcher in the Woods
190,5312,Murder by Numbers
191,5313,The Scorpion King
192,5316,Enigma
193,5319,Nine Queens
194,5321,The Triumph of Love
195,5322,World Traveler
196,5323,Jason X
197,5324,Life or Something Like It
198,5328,Rain
199,5329,The Salton Sea
200,5334,Cadillac Man
201,5337,Delirious
202,5338,Full Moon in Blue Water
203,5339,Husbands and Wives
204,5341,Lenny
205,5345,Triumph of the Spirit
206,5346,Wild Orchid
207,5347,Deuces Wild
208,5348,Hollywood Ending
209,5349,Spider-Man
210,5353,Butterflies Are Free
211,5356,The Giant Spider Invasion
212,5357,Iron Will
213,5358,Mountains of the Moon
214,5361,White Fang
215,5363,The New Guy
216,5364,Unfaithful
217,5365,The Lady and the Duke
218,5372,Calamity Jane
219,5373,The Cranes Are Flying
220,5375,The Harvey Girls
221,5377,About a Boy
222,5378,Star Wars: Episode II - Attack of the Clones
223,5379,The Believer
224,5380,The Importance of Being Earnest
225,5382,Every Which Way but Loose
226,5384,I Want to Live!
227,5385,The Last Waltz
228,5387,Enough
229,5388,Insomnia
230,5389,Spirit: Stallion of the Cimarron
231,5390,CQ
232,5397,Monkey Business
233,5398,Requiem for a Heavyweight
234,5400,The Sum of All Fears
235,5401,Undercover Brother
236,5404,84 Charing Cross Road
237,5409,Rapid Fire
238,5410,Silent Running
239,5414,Bad Company
240,5415,Divine Secrets of the Ya-Ya Sisterhood
241,5416,Cherish
242,5417,Atanarjuat: The Fast Runner
243,5418,The Bourne Identity
244,5419,Scooby-Doo
245,5420,Windtalkers
246,5421,The Dangerous Lives of Altar Boys
247,5422,The Emperor's New Clothes
248,5423,Gangster No. 1
249,5424,Harvard Man
250,5425,Dark Blue World
251,5427,Caveman
252,5428,Cheech & Chong's The Corsican Brothers
253,5433,Silver Bullet
254,5434,"Sorry, Wrong Number"
255,5435,Hombre
256,5437,The Manhattan Project
257,5438,Men at Work
258,5440,She Wore a Yellow Ribbon
259,5442,V.I. Warshawski
260,5443,Juwanna Mann
261,5444,Lilo & Stitch
262,5445,Minority Report
263,5446,Rabbit-Proof Fence
264,5447,Sunshine State
265,5448,Hey Arnold! The Movie
266,5449,Mr. Deeds
267,5450,Lovely & Amazing
268,5451,Pumpkin
269,5452,Look Who's Talking Now!
270,5454,Mo' Money
271,5455,The Object of Beauty
272,5456,Wagons East!
273,5458,Like Mike
274,5460,The Powerpuff Girls Movie
275,5461,Me Without You
276,5462,The Crocodile Hunter: Collision Course
277,5463,Reign of Fire
278,5464,Road to Perdition
279,5465,All About Lily Chou-Chou
280,5466,My Wife Is an Actress
281,5468,20 Million Miles to Earth
282,5470,The Importance of Being Earnest
283,5471,Perfect
284,5472,1776
285,5475,Z
286,5476,Halloween: Resurrection
287,5477,Sex and Lucía
288,5478,Eight Legged Freaks
289,5479,K-19: The Widowmaker
290,5480,Stuart Little 2
291,5481,Austin Powers in Goldmember
292,5483,The Kid Stays in the Picture
293,5485,Tadpole
294,5486,Who Is Cletis Tout?
295,5489,Nosferatu the Vampyre
296,5490,The Big Bus
297,5493,In Like Flint
298,5498,Red Beard
299,5499,Robin and Marian
300,5500,Top Secret!
301,5501,The Master of Disguise
302,5502,Signs
303,5503,The Last Kiss
304,5504,Spy Kids 2: The Island of Lost Dreams
305,5505,The Good Girl
306,5506,Blood Work
307,5507,xXx
308,5508,24 Hour Party People
309,5512,Secret Ballot
310,5513,Martin Lawrence Live: Runteldat
311,5515,Songs from the Second Floor
312,5521,The Principal
313,5522,Rollerball
314,5523,The Adventures of Pluto Nash
315,5524,Blue Crush
316,5525,Mostly Martha
317,5527,Possession
318,5528,One Hour Photo
319,5529,Serving Sara
320,5530,S1m0ne
321,5531,Undisputed
322,5537,Satin Rouge
323,5538,The Care Bears Movie
324,5539,Care Bears Movie II: A New Generation
325,5540,Clash of the Titans
326,5541,Hot Shots!
327,5543,Inside 'the Swarm'
328,5544,Time After Time
329,5548,Down and Out in Beverly Hills
330,5550,Love Me Tender
331,5553,Stakeout
332,5560,À Nous la Liberté
333,5562,Snipes
334,5563,City by the Sea
335,5564,Swimfan
336,5568,Johnny Dangerously
337,5569,The Last House on the Left
338,5570,Thesis
339,5572,Barbershop
340,5573,Stealing Harvard
341,5574,The Transporter
342,5575,Betty Fisher and Other Stories
343,5577,Igby Goes Down
344,5580,Aspen Extreme
345,5581,Betsy's Wedding
346,5582,Captain Ron
347,5584,Ernest Goes to Jail
348,5585,Ernest Scared Stupid
349,5588,The Hills Have Eyes
350,5589,Indian Summer
351,5590,The Mack
352,5591,Monkey Trouble
353,5596,Spaced Invaders
354,5597,Suburban Commando
355,5601,The Yearling
356,5602,The Ladykillers
357,5603,The Lavender Hill Mob
358,5604,The Man in the White Suit
359,5607,Son of the Bride
360,5608,Acceptable Risk
361,5609,Ballistic: Ecks vs. Sever
362,5610,The Banger Sisters
363,5611,The Four Feathers
364,5612,Trapped
365,5613,8 Women
366,5615,Invincible
367,5617,Secretary
368,5618,Spirited Away
369,5619,The Trials of Henry Kissinger
370,5620,Sweet Home Alabama
371,5621,The Tuxedo
372,5625,Moonlight Mile
373,5628,Wasabi
374,5629,Jonah: A VeggieTales Movie
375,5630,Red Dragon
376,5632,Bloody Sunday
377,5633,Heaven
378,5635,The Man from Elysian Fields
379,5636,Welcome to Collinwood
380,5637,Flirting
381,5638,Mothra vs. Godzilla
382,5640,Godzilla
383,5643,Powaqqatsi
384,5644,The Pride of the Yankees
385,5646,Valmont
386,5649,Dracula
387,5650,Strange Brew
388,5651,The Incredible Mr. Limpet
389,5657,Flashback
390,5663,Below
391,5664,Brown Sugar
392,5665,Knockaround Guys
393,5666,The Rules of Attraction
394,5667,Tuck Everlasting
395,5668,White Oleander
396,5669,Bowling for Columbine
397,5670,Comedian
398,5673,Punch-Drunk Love
399,5675,Swept Away
400,5678,The 51st State
401,5679,The Lord of the Rings: The Fellowship of the Ring
402,5680,Auto Focus
403,5682,The Grey Zone
404,5684,Naqoyqatsi
405,5685,Real Women Have Curves
406,5688,Tully
407,5689,Billy Bathgate
